PROKKA_01808	Lipopolysaccharide synthesis
PROKKA_01809	Lipopolysaccharide synthesis
PROKKA_01810	Lipopolysaccharide synthesis
PROKKA_01811	Lipopolysaccharide synthesis
PROKKA_01812	Lipopolysaccharide synthesis
PROKKA_01813	Lipopolysaccharide synthesis
PROKKA_01814	Lipopolysaccharide synthesis
PROKKA_01815	Lipopolysaccharide synthesis
PROKKA_01816	Lipopolysaccharide synthesis
PROKKA_02328	Lipopolysaccharide synthesis
PROKKA_02329	Lipopolysaccharide synthesis
PROKKA_02330	Lipopolysaccharide synthesis
PROKKA_02331	Lipopolysaccharide synthesis
PROKKA_02332	Lipopolysaccharide synthesis
PROKKA_02488	Lipopolysaccharide synthesis
PROKKA_00424	Extracellular polysaccharide production and export
PROKKA_00488	Extracellular polysaccharide production and export
PROKKA_00489	Extracellular polysaccharide production and export
PROKKA_00121	Extracellular polysaccharide production and export
PROKKA_00490	Extracellular polysaccharide production and export
PROKKA_00492	Extracellular polysaccharide production and export
PROKKA_00528	Extracellular polysaccharide production and export
PROKKA_00529	Extracellular polysaccharide production and export
PROKKA_00530	Extracellular polysaccharide production and export
PROKKA_00531	Extracellular polysaccharide production and export
PROKKA_00532	Extracellular polysaccharide production and export
PROKKA_00540	Extracellular polysaccharide production and export
PROKKA_00535	Extracellular polysaccharide production and export
PROKKA_00536	Extracellular polysaccharide production and export
PROKKA_00537	Extracellular polysaccharide production and export
PROKKA_00538	Extracellular polysaccharide production and export
PROKKA_00539	Extracellular polysaccharide production and export
PROKKA_00541	Extracellular polysaccharide production and export
PROKKA_00543	Extracellular polysaccharide production and export
PROKKA_00544	Extracellular polysaccharide production and export
PROKKA_00545	Extracellular polysaccharide production and export
PROKKA_00546	Extracellular polysaccharide production and export
PROKKA_00547	Extracellular polysaccharide production and export
PROKKA_00548	Extracellular polysaccharide production and export
PROKKA_00550	Extracellular polysaccharide production and export
PROKKA_00551	Extracellular polysaccharide production and export
PROKKA_00552	Extracellular polysaccharide production and export
PROKKA_00565	Extracellular polysaccharide production and export
PROKKA_00566	Extracellular polysaccharide production and export
PROKKA_00569	Extracellular polysaccharide production and export
PROKKA_00570	Extracellular polysaccharide production and export
PROKKA_00572	Extracellular polysaccharide production and export
PROKKA_00683	Extracellular polysaccharide production and export
PROKKA_00656	Extracellular polysaccharide production and export
PROKKA_00769	Extracellular polysaccharide production and export
PROKKA_00770	Extracellular polysaccharide production and export
PROKKA_01394	Extracellular polysaccharide production and export
PROKKA_01526	Extracellular polysaccharide production and export
PROKKA_01528	Extracellular polysaccharide production and export
PROKKA_01564	Extracellular polysaccharide production and export
PROKKA_02426	Extracellular polysaccharide production and export
