"","locus_tag","gene"
"319","LFT_01594","glyS"
"320","LFT_01595","glyQ"
"321","LFT_01597","bioB"
"322","LFT_01598","bioW"
"323","LFT_01599","bioF"
"324","LFT_01605","gmk"
"325","LFT_01606","rpoZ"
"326","LFT_01607","coaBC"
"327","LFT_01609","aroQ"
"328","LFT_01610","efp"
"329","LFT_01611","accB"
"330","LFT_01614","thiE"
"331","LFT_01647","purQ"
"332","LFT_01648","purL"
"333","LFT_01649","purF"
"334","LFT_01651","hldD"
"335","LFT_01656","otsA"
"336","LFT_01657","otsB"
"337","LFT_01660","rplQ"
"338","LFT_01661","rpoA"
"339","LFT_01662","rpsD"
"340","LFT_01663","rpsM"
"341","LFT_01664","infA"
"342","LFT_01665","map"
"343","LFT_01666","adk"
"344","LFT_01667","secY"
"345","LFT_01668","rplO"
"346","LFT_01669","rpsE"
"347","LFT_01670","rplR"
"348","LFT_01671","rplF"
"349","LFT_01672","rpsH"
"350","LFT_01673","rplE"
"351","LFT_01675","rpsC"
"352","LFT_01676","rplV"
"353","LFT_01677","rpsS"
"354","LFT_01678","rplB"
"355","LFT_01679","rplW"
"356","LFT_01680","rplD"
"357","LFT_01681","rplC"
"358","LFT_01682","rpsJ"
"359","LFT_01684","fusA"
"360","LFT_01685","rpsG"
"361","LFT_01686","rpsL"
"362","LFT_01687","rpoC"
"363","LFT_01688","rpoB"
"364","LFT_01689","rplL"
"365","LFT_01690","rplJ"
"366","LFT_01691","rplA"
"367","LFT_01692","rplK"
"368","LFT_01693","nusG"
"369","LFT_01694","secE"
"370","LFT_01703","rimO"
"371","LFT_01707","rlpA"
"372","LFT_01709","rpsR"
"373","LFT_01711","rpsF"
"374","LFT_01712","ychF"
"375","LFT_01713","pth"
"376","LFT_01714","ctc"
"377","LFT_01715","prs"
"378","LFT_01717","ispE"
"379","LFT_01722","clpX"
"380","LFT_01723","clpP"
"381","LFT_01724","tig"
"382","LFT_01727","zwf"
"383","LFT_01728","tal"
"384","LFT_01729","tkt"
"385","LFT_01730","pgl"
"386","LFT_01731","glk"
"387","LFT_01762","alkA"
"388","LFT_01772","yceI"
"389","LFT_01776","hycD"
"390","LFT_01779","hycE"
"391","LFT_01806","acoA"
"392","LFT_01881","namA"
"393","LFT_01884","lhgO"
"394","LFT_01886","tatA"
"395","LFT_01891","rlmN"
"396","LFT_01902","plsY"
"397","LFT_01905","kdsD"
"398","LFT_01906","kdsA"
"399","LFT_01907","pyrG"
"400","LFT_01908","kdsB"
"401","LFT_01911","lepA"
"402","LFT_01913","hisS"
"403","LFT_01921","prfB"
"404","LFT_01922","lnt"
"405","LFT_01936","aspS"
"406","LFT_01937","glnA"
"407","LFT_01945","greA"
"408","LFT_01946","carB"
"409","LFT_01948","carA"
"410","LFT_01949","pyrC"
"411","LFT_01950","pyrB"
"412","LFT_01951","pyrR"
"413","LFT_01977","nadK"
"414","LFT_01979","lptD"
"415","LFT_01981","accD"
"416","LFT_01982","trpA"
"417","LFT_01983","trpB"
"418","LFT_01984","trpF"
"419","LFT_01985","trpC"
"420","LFT_01988","trpE"
"421","LFT_01990","nudF"
"422","LFT_02010","thrB"
"423","LFT_02011","pyrD"
"424","LFT_02018","dcd"
"425","LFT_02020","bluB"
"426","LFT_02021","kamA"
"427","LFT_02024","hemA"
"428","LFT_02025","hemC"
"429","LFT_02028","hemB"
"430","LFT_02029","ribF"
"431","LFT_02030","tilS"
"432","LFT_02031","hpt"
